,pitchid,pitcherid,yearid,throws,height,initspeed,breakx,breakz,initposx,initposz,extension,spinrate,type
2932,15986,465838,2015,L,74,92.22076650000001,6.201700791,8.057152001,1.754602149,6.215610823,6.238377475,2199.5975940000003,FB
2933,15760,221958,2017,L,73,89.40458363,7.480217172000001,11.1272165,2.528956224,6.184298776,6.07792841,2161.5315579999997,FB
2934,3189,771155,2016,R,75,80.84233990000001,9.937881397,-4.928955373,-0.7126834670000001,6.157188335,6.25249068,2731.730296,CB
2935,12430,221958,2015,L,73,78.82011985,0.167885321,2.017676544,2.4431494540000003,6.436896139,5.97437575,2246.235213,SL
2936,16967,221958,2016,L,73,88.58313907,8.076724008,8.929742128,2.616450714,6.143170062,5.794632029,2029.6745760000001,FB
2937,13840,771155,2016,R,75,75.59289204,9.8543768,-5.8244719410000005,-0.9192160770000001,6.222592962,6.485576547999999,2626.75105,CB
2938,12731,359178,2015,R,76,95.91921049999999,-4.337671702,12.57576539,-1.402380709,6.239505754,6.7112176439999995,2319.7674190000002,FB
2939,12387,221958,2016,L,73,85.50897272,4.635762441000001,10.22805248,2.3958796319999998,6.235098589,6.353769288,1942.556623,FB
2940,8109,771155,2017,R,75,84.88126347,0.836983838,2.533473001,-1.220851329,5.946730886,6.10651777,2343.279266,CH
2941,17776,231932,2016,R,72,77.11228615,-2.544127965,-5.202995371,-1.8047624830000002,5.094055021,6.133189337999999,2325.095834,SL
2942,9379,465838,2015,L,74,93.25644355,9.610184693999999,7.631217209,1.888419701,6.14330198,5.983939897000001,2127.159722,CU
2943,12080,221958,2017,L,73,70.10297413,-3.4939692669999998,-6.365068329,2.271163889,6.1599769460000005,6.208556993999999,2260.3523149999996,CB
2944,9430,221958,2016,L,73,85.75520463,6.2123145410000005,9.243558992,2.5489013480000002,6.180203016,6.459132382000001,1978.51049,FB
2945,6136,221958,2017,L,73,84.15657327,9.370603437,6.671928042,2.402691888,6.243950312000001,6.4089334110000005,1755.4871329999999,CU
2946,3440,231932,2015,R,72,91.08969146,-8.747627087,1.9720607559999999,-1.798754131,5.255003993,6.715817728999999,1830.7692920000002,CU
2947,9925,359178,2015,R,76,88.61902179,-7.3982725039999995,8.489039421000001,-1.155307745,6.257195505,6.06132556,2030.7114589999999,SI
2948,3567,359178,2015,R,76,87.74598886,0.502210945,1.435738189,-1.09099786,6.127281301,6.2652808339999995,2399.381226,SL
2949,11215,359178,2015,R,76,95.61540513,-2.206429172,11.94710867,-1.1110641620000001,6.521502892999999,6.346780773,2267.110279,FB
2950,10947,231932,2015,R,72,84.86535804,-8.928975753,-1.672311895,-1.7681490619999998,5.422279481,6.228458091,1525.471775,SI
2951,10693,221958,2017,L,73,87.00540377,12.75679557,10.98237594,2.690347674,6.343459673,6.513771066,1846.943832,CU
2952,2951,231932,2015,R,72,89.95458379,-5.979561919,1.7975229419999998,-1.7662792040000002,5.287794485,6.169482052,1814.8936640000002,CU
2953,12396,221958,2017,L,73,88.80340781,11.2157979,5.233494775,2.6266775019999997,5.867385068,6.509723787,1903.91122,CU
2954,1808,231932,2015,R,72,84.85390961,-7.6133373120000005,-3.2334277769999997,-1.851555384,5.213896266,6.309060238,1495.978182,SI
2955,1366,359178,2015,R,76,86.05778667,0.890677521,5.789744557000001,-1.7584277590000001,6.566964102000001,6.3448349639999995,2148.48201,SL
2956,15171,221958,2017,L,73,87.03333123,11.40808471,8.565128184,2.6490404869999997,6.136274933999999,6.332133597,1881.518222,CU
2957,15318,231932,2015,R,72,85.57464905,-7.666376111,1.591910689,-1.6591368780000002,5.21454555,6.015897409,1470.374022,SI
2958,12879,231932,2016,R,72,86.00558841,-7.118914565,5.713647619,-1.754567131,5.410796702000001,6.203729041,1805.0250879999999,FB
2959,12691,771155,2016,R,75,87.37520788,-2.365946055,6.454505982000001,-1.503841138,5.969294757999999,6.177618046,2323.934523,CH
2960,4211,359178,2015,R,76,95.58421667,-2.8940435030000002,12.03707645,-1.318374917,6.515639756000001,6.164260535,2408.7509600000003,FB
2961,10389,465838,2015,L,74,91.82672347,8.692153327,6.891088702999999,1.684293998,6.116442087,6.374935832999999,2102.99732,CU
2962,15598,771155,2017,R,75,87.11598104,-5.05833548,7.7253329939999995,-1.456687244,5.96364238,6.021534389,2083.5778649999997,FB
2963,2451,221958,2016,L,73,86.74583671,7.034613072999999,10.81903092,2.653096904,6.220434267000001,5.786467872999999,2099.34753,FB
2964,16947,231932,2015,R,72,81.07370965,3.5432708410000004,-3.188271005,-1.7659592819999999,5.121125183999999,6.340551039,2274.772466,SL
2965,13922,221958,2017,L,73,87.94599711,13.13894156,4.937681882,2.464043866,6.055224433999999,6.326864115,1840.5957079999998,CU
2966,13231,231932,2015,R,72,90.35979834,-7.13945083,3.771800672,-1.6209877430000001,5.475921829,5.74913434,1851.522438,CU
2967,5430,771155,2017,R,75,88.0178692,-7.11457024,6.476276382999999,-1.1300930809999998,6.15519751,6.168928359,2132.44238,CU
2968,19196,221958,2017,L,73,87.85153082,3.859330059,10.869705999999999,2.516865086,6.122259944,6.018785991000001,2136.069243,FB
2969,18632,465838,2015,L,74,92.20059538,8.584234948999999,8.064097419,1.5671053069999998,6.411721013999999,5.87808061,2150.70843,FB
2970,10749,465838,2015,L,74,92.19640362,7.984721700000001,7.555201551000001,1.716043135,6.280990957,6.13535839,2002.031765,CU
2971,5589,771155,2017,R,75,90.71812131,-6.181426749,8.804530429,-0.9425415970000001,5.960167899,6.342306014,2246.675608,FB
2972,13738,359178,2015,R,76,93.607419,-2.8563495710000004,11.76474931,-1.5278147830000002,6.39442977,6.622265949,2475.666012,FB
2973,12699,221958,2017,L,73,78.27075288,0.6091849779999999,1.919178615,2.566886792,6.291600555,6.05952734,2345.502923,SL
2974,5581,221958,2016,L,73,77.97479719,0.15970267800000001,0.064603058,2.513569253,6.096105821,6.211769187000001,2227.670475,SL
2975,3687,221958,2015,L,73,87.40374879,10.5857689,7.835130499,2.7590133710000004,6.069249408999999,6.2168909910000005,2006.137829,CU
2976,4941,231932,2015,R,72,90.71840053,-8.71317537,-0.451625169,-1.613324494,5.24208582,6.512115988,1923.259036,CU
2977,9886,231932,2015,R,72,80.90801686,0.739288915,-2.215428525,-1.8333246069999998,5.193466043,6.28306729,2250.434066,SL
2978,5441,221958,2017,L,73,87.50277123,8.134453627000001,8.760897613,2.697939498,5.993086056,6.235286597999999,2003.397638,FB
2979,2192,359178,2015,R,76,96.26725574,-2.2610765219999998,11.82782919,-0.76603888,6.325964723999999,5.717605457,2652.3867609999998,FB
2980,1507,465838,2015,L,74,91.52814729,10.38066776,3.5966713969999997,1.7549339519999998,6.2660775310000005,5.9395822670000005,2000.838452,CU
